display_year,region,subgroup,sex,value
2001/02,All,Adult,Female,0.149350649
2002/03,All,Adult,Female,0.530373832
2003/04,All,Adult,Female,0.334615385
2004/05,All,Adult,Female,0.456575682
2005/06,All,Adult,Female,0.703406814
2006/07,All,Adult,Female,0.373115578
2007/08,All,Adult,Female,0.498507463
2008/09,All,Adult,Female,0.302243211
2009/10,All,Adult,Female,0.319306931
2010/11,All,Adult,Female,0.418699187
2011/12,All,Adult,Female,0.602320675
2012/13,All,Adult,Female,0.426889107
2013/14,All,Adult,Female,0.533928571
2014/15,All,Adult,Female,0.561538462
2001/02,All,Adult,Male,0.256493506
2002/03,All,Adult,Male,0.565420561
2003/04,All,Adult,Male,0.408974359
2004/05,All,Adult,Male,0.449131514
2005/06,All,Adult,Male,0.53507014
2006/07,All,Adult,Male,0.368090452
2007/08,All,Adult,Male,0.371641791
2008/09,All,Adult,Male,0.243211334
2009/10,All,Adult,Male,0.207920792
2010/11,All,Adult,Male,0.497289973
2011/12,All,Adult,Male,0.69092827
2012/13,All,Adult,Male,0.44357213
2013/14,All,Adult,Male,0.385714286
2014/15,All,Adult,Male,0.420512821
2001/02,All,Juvenile,Female,0.022727273
2002/03,All,Juvenile,Female,0.11682243
2003/04,All,Juvenile,Female,0.1
2004/05,All,Juvenile,Female,0.062034739
2005/06,All,Juvenile,Female,0.100200401
2006/07,All,Juvenile,Female,0.046482412
2007/08,All,Juvenile,Female,0.076119403
2008/09,All,Juvenile,Female,0.092089728
2009/10,All,Juvenile,Female,0.084158416
2010/11,All,Juvenile,Female,0.092140921
2011/12,All,Juvenile,Female,0.127637131
2012/13,All,Juvenile,Female,0.082433759
2013/14,All,Juvenile,Female,0.032142857
2014/15,All,Juvenile,Female,0.01025641
2001/02,All,Juvenile,Male,0.048701299
2002/03,All,Juvenile,Male,0.177570093
2003/04,All,Juvenile,Male,0.097435897
2004/05,All,Juvenile,Male,0.110421836
2005/06,All,Juvenile,Male,0.200400802
2006/07,All,Juvenile,Male,0.103015075
2007/08,All,Juvenile,Male,0.113432836
2008/09,All,Juvenile,Male,0.181818182
2009/10,All,Juvenile,Male,0.188118812
2010/11,All,Juvenile,Male,0.191056911
2011/12,All,Juvenile,Male,0.187763713
2012/13,All,Juvenile,Male,0.111874387
2013/14,All,Juvenile,Male,0.021428571
2014/15,All,Juvenile,Male,0.015384615
