Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Nov,Dec
2004,,,,0.35,0.39,0.37,0.27,0.39,0.36,0.4,0.56
2005,0.41,0.39,0.45,0.4,0.24,0.34,0.22,0.37,0.44,0.35,0.55
2006,0.59,0.44,0.45,0.23,0.48,0.28,0.33,0.26,0.49,0.32,0.52
2007,0.53,0.51,0.43,0.25,0.48,0.23,0.28,0.33,0.47,0.34,0.49
2008,0.42,0.45,0.41,0.31,0.26,0.26,0.4,0.37,0.5,0.3,0.49
2009,0.41,0.43,0.38,0.28,0.41,0.29,0.25,0.27,0.22,0.21,0.46
2010,0.35,0.45,0.29,0.25,0.33,0.18,0.35,0.52,0.47,0.38,0.47
2011,0.54,0.46,0.4,0.36,0.35,0.17,0.39,0.45,0.48,0.51,0.59
2012,0.67,0.4,0.43,0.63,0.4,0.28,0.52,0.71,0.47,0.56,0.58
2013,0.54,0.48,0.58,0.48,0.46,0.26,0.49,0.52,0.5,0.57,0.66
2014,0.64,0.59,0.46,0.65,0.41,0.27,0.51,0.63,0.57,0.65,0.79
2015,0.6,0.43,0.42,0.5,0.42,0.36,0.54,0.67,0.45,0.58,0.61
2016,0.65,0.5,0.49,0.49,0.26,0.16,0.52,0.35,0.34,0.37,0.61
2017,0.49,0.6,0.46,0.55,0.37,0.31,0.43,,,,
