year,ssb_actual,ssb_est,ci_up,ci_low
1951,1197.0811,1171.0151,1410.9008,931.1294
1952,1082.6849,1086.1021,1292.002,880.2022
1953,976.4728,943.9549,1096.6212,791.2887
1954,879.3384,886.4544,1023.6271,749.2818
1955,793.1415,807.3308,928.9427,685.7188
1956,720.1197,752.5599,864.6566,640.4632
1957,657.5635,725.0872,830.8262,619.3482
1958,602.6347,648.2614,753.519,543.0037
1959,553.4117,566.8212,669.4301,464.2123
1960,510.6416,450.3504,533.3483,367.3526
1961,470.7958,432.5527,506.5531,358.5523
1962,433.941,414.1956,482.7741,345.6171
1963,401.7177,409.2563,477.2978,341.2149
1964,374.1611,353.5216,424.7313,282.312
1965,351.4794,325.4972,393.4425,257.5519
1966,335.0003,329.9819,397.6989,262.2648
1967,321.9162,285.4825,353.4114,217.5536
1968,309.5247,264.4102,319.4242,209.3962
1969,297.3563,278.0833,330.2612,225.9054
1970,286.3023,280.69,332.091,229.2889
1971,280.4839,280.3301,334.7104,225.9498
1972,287.7673,296.8122,355.9269,237.6975
1973,296.1986,316.1449,380.94,251.3498
1974,301.9542,353.1305,430.63,275.6309
1975,303.8293,309.7505,377.0138,242.4871
1976,301.8435,331.3027,400.6669,261.9385
1977,293.2931,301.5517,365.6109,237.4925
1978,279.3105,287.9477,354.2588,221.6367
1979,262.898,249.0201,303.9823,194.0579
1980,247.0166,229.3296,276.0765,182.5828
1981,231.6746,229.1748,274.4469,183.9026
1982,219.376,239.4977,291.4697,187.5257
1983,213.7604,224.2034,293.8146,154.5922
1984,218.2398,206.5484,263.0032,150.0936
1985,223.0838,217.1496,264.9734,169.3259
1986,223.1957,222.9701,267.1834,178.7569
1987,217.6701,229.4755,275.7947,183.1563
1988,209.4746,218.1954,266.5815,169.8094
1989,202.2372,229.2165,279.5381,178.8949
1990,199.1077,171.1171,205.8398,136.3944
1991,202.2571,189.6893,224.3475,155.0311
1992,208.1248,213.4217,250.5813,176.262
1993,213.4211,225.229,265.8005,184.6576
1994,218.3915,213.6861,252.5339,174.8383
1995,217.2502,218.479,258.4766,178.4814
1996,213.0869,229.7911,273.2653,186.3169
1997,209.9849,234.634,285.2103,184.0577
1998,211.9639,179.7198,219.1206,140.3189
1999,216.6338,203.3955,240.7712,166.0198
2000,225.6463,229.5599,268.7075,190.4123
2001,232.5276,249.2423,290.8756,207.6089
2002,233.1047,250.8496,293.9359,207.7632
2003,229.029,238.6184,281.2471,195.9897
2004,222.6128,239.0455,282.4332,195.6578
2005,223.2035,259.1767,305.0933,213.2602
2006,235.7502,229.5023,272.6528,186.3517
2007,250.7703,252.7405,297.2299,208.251
2008,266.9233,269.0809,316.3492,221.8125
2009,283.7485,283.7617,332.8746,234.6487
2010,310.361,298.6954,348.2989,249.092
2011,343.234,338.6928,392.0634,285.3222
2012,372.3245,363.3499,421.4769,305.2229
2013,395.2482,372.9179,435.3542,310.4817
2014,412.9827,372.7419,441.5327,303.9511
2015,434.8813,360.119,440.7241,279.5139
