display_year,survey_id,region,value
1978/79,biomass,All,1424970
1979/80,biomass,All,1392530
1980/81,biomass,All,1336020
1981/82,biomass,All,1273390
1982/83,biomass,All,1205130
1983/84,biomass,All,1124310
1984/85,biomass,All,1047600
1985/86,biomass,All,993790
1986/87,biomass,All,942817
1987/88,biomass,All,862244
1988/89,biomass,All,807400
1989/90,biomass,All,762149
1990/91,biomass,All,790338
1991/92,biomass,All,842862
1992/93,biomass,All,867770
1993/94,biomass,All,829749
1994/95,biomass,All,779519
1995/96,biomass,All,762032
1996/97,biomass,All,740952
1997/98,biomass,All,754778
1998/99,biomass,All,821720
1999/00,biomass,All,843128
2000/01,biomass,All,810154
2001/02,biomass,All,823092
2002/03,biomass,All,854218
2003/04,biomass,All,831785
2004/05,biomass,All,669634
2005/06,biomass,All,569230
2006/07,biomass,All,513121
2007/08,biomass,All,461112
2008/09,biomass,All,445131
2009/10,biomass,All,463272
2010/11,biomass,All,521705
2011/12,biomass,All,590183
2012/13,biomass,All,628877
2013/14,biomass,All,648968
2014/15,biomass,All,668347
2015/16,biomass,All,675255
1978/79,exploitation,All,0.340724
1979/80,exploitation,All,0.325115
1980/81,exploitation,All,0.41082
1981/82,exploitation,All,0.391595
1982/83,exploitation,All,0.382111
1983/84,exploitation,All,0.374045
1984/85,exploitation,All,0.387366
1985/86,exploitation,All,0.347145
1986/87,exploitation,All,0.372493
1987/88,exploitation,All,0.400482
1988/89,exploitation,All,0.376228
1989/90,exploitation,All,0.434864
1990/91,exploitation,All,0.400559
1991/92,exploitation,All,0.484605
1992/93,exploitation,All,0.470024
1993/94,exploitation,All,0.540197
1994/95,exploitation,All,0.558096
1995/96,exploitation,All,0.554612
1996/97,exploitation,All,0.542578
1997/98,exploitation,All,0.617543
1998/99,exploitation,All,0.627687
1999/00,exploitation,All,0.617728
2000/01,exploitation,All,0.647912
2001/02,exploitation,All,0.532298
2002/03,exploitation,All,0.503024
2003/04,exploitation,All,0.55374
2004/05,exploitation,All,0.609385
2005/06,exploitation,All,0.628398
2006/07,exploitation,All,0.654671
2007/08,exploitation,All,0.625958
2008/09,exploitation,All,0.528179
2009/10,exploitation,All,0.515591
2010/11,exploitation,All,0.487565
2011/12,exploitation,All,0.394054
2012/13,exploitation,All,0.411344
2013/14,exploitation,All,0.413916
2014/15,exploitation,All,0.33542
2015/16,exploitation,All,0.335069
